item,auto,run,episode_id,task_id,condition,domain,difficulty
A040,yes,runs/sweep/d3-hard,261a28fa,d3-arc0-000-e3-probe-dinner-upd,C4,d3,hard
A041,no,runs/sweep/d2-medium,73c12382,d2-arc0-005-e2-probe-combo,C2,d2,medium
A042,yes,runs/sweep/d3-hard,943a6684,d3-arc0-001-e4-probe-dinner-upd,C1,d3,hard
A043,yes,runs/sweep/d3-medium,dccdb3ce,d3-arc0-003-e1-probe-roomtime,C2,d3,medium
A044,yes,runs/sweep/d2-hard,4afc7b12,d2-arc0-007-e3-probe-ver-upd,C2,d2,hard
A045,yes,runs/sweep/d2-hard,497be939,d2-arc0-004-e2-probe-ver-upd,C5,d2,hard
A046,yes,runs/sweep/d2-medium,5c2e30fb,d2-arc0-000-e1-probe-combo,C4,d2,medium
A047,yes,runs/pilot-d2-v2,64518bc7,d2-arc0-001-e2-probe-ver,C5,d2,easy
A048,yes,runs/sweep/d1-hard,38fe24aa,arc0-006-e4-probe-refund-upd,C4,d1,hard
A049,yes,runs/pilot-clean,cfd7e5d8,arc0-001-e3-probe-addr,C4,d1,easy
A050,yes,runs/sweep/d2-medium,b35d599f,d2-arc0-005-e2-probe-combo,C4,d2,medium
A051,no,runs/sweep/d3-hard,191ea1d9,d3-arc0-006-e2-probe-dinner-upd,C2,d3,hard
A052,yes,runs/pilot-clean,9b7872b0,arc0-001-e1-probe-refund,C2,d1,easy
A053,no,runs/sweep/d3-easy,8ff84438,d3-arc0-003-e3-probe-room,C2,d3,easy
A054,yes,runs/sweep/d2-medium,c23744e0,d2-arc0-002-e1-probe-combo,C2,d2,medium
A055,yes,runs/sweep/d1-medium,49f82e70,arc0-003-e2-probe-combo,C4,d1,medium
A056,no,runs/sweep/d1-medium,4a7a7565,arc0-008-e1-probe-combo,C1,d1,medium
A057,yes,runs/pilot-clean,b792dbf8,arc0-000-e2-probe-addr,C4,d1,easy
A058,no,runs/sweep/d1-medium,3d0eb168,arc0-003-e4-probe-combo,C5,d1,medium
A059,yes,runs/sweep/d1-medium,25575b80,arc0-002-e4-probe-combo,C5,d1,medium
A060,yes,runs/pilot-clean,4cfa8fdc,arc0-007-e4-probe-refund,C2,d1,easy
A061,yes,runs/pilot-d2-v2,108f54f1,d2-arc0-005-e3-probe-ver,C1,d2,easy
A062,yes,runs/sweep/d3-easy,47d35d81,d3-arc0-004-e1-probe-room,C4,d3,easy
A063,yes,runs/sweep/d1-hard,012e26ab,arc0-001-e4-probe-refund-upd,C2,d1,hard
A064,yes,runs/pilot-d2-v2,c1676b50,d2-arc0-003-e2-probe-cfg,C4,d2,easy
A065,no,runs/sweep/d1-medium,f027ee48,arc0-006-e2-probe-combo,C3,d1,medium
A066,yes,runs/sweep/d3-hard,b43dacbe,d3-arc0-007-e4-probe-dinner-upd,C1,d3,hard
A067,yes,runs/sweep/d2-hard,508e7182,d2-arc0-007-e2-probe-ver-upd,C2,d2,hard
A068,yes,runs/sweep/d1-medium,97c14247,arc0-002-e2-probe-combo,C4,d1,medium
A069,yes,runs/pilot-clean,c363e07c,arc0-002-e2-probe-refund,C5,d1,easy
A070,yes,runs/sweep/d1-medium,b70fd45f,arc0-000-e4-probe-combo,C1,d1,medium
A071,no,runs/pilot-d2-v2,fec3a143,d2-arc0-004-e1-probe-ver,C4,d2,easy
A072,yes,runs/sweep/d3-medium,c6a48c37,d3-arc0-007-e3-probe-roomtime,C5,d3,medium
A073,yes,runs/sweep/d3-hard,dc7452f0,d3-arc0-000-e3-probe-dinner-upd,C5,d3,hard
A074,yes,runs/sweep/d3-easy,406c0df4,d3-arc0-009-e1-probe-dinner,C3,d3,easy
A075,yes,runs/sweep/d1-hard,7c7cfa34,arc0-008-e2-probe-refund-upd,C4,d1,hard
A076,yes,runs/sweep/d3-medium,73b30d7f,d3-arc0-006-e4-probe-dinner,C1,d3,medium
A077,yes,runs/sweep/d3-easy,36604d38,d3-arc0-003-e3-probe-room,C4,d3,easy
A078,yes,runs/pilot-d2-v2,41e4ecbc,d2-arc0-006-e2-probe-cfg,C1,d2,easy
A079,yes,runs/sweep/d2-medium,54a3ce1c,d2-arc0-001-e3-probe-combo,C2,d2,medium
A080,yes,runs/sweep/d1-medium,39685715,arc0-004-e2-probe-combo,C1,d1,medium
A081,yes,runs/pilot-d2-v2,b6758540,d2-arc0-005-e2-probe-cfg,C1,d2,easy
A082,yes,runs/pilot-clean,73bd23a6,arc0-003-e2-probe-refund,C1,d1,easy
A083,yes,runs/sweep/d2-hard,0c9646bf,d2-arc0-005-e4-probe-ver-upd,C4,d2,hard
A084,yes,runs/sweep/d3-hard,f6775197,d3-arc0-008-e3-probe-dinner-upd,C2,d3,hard
A085,yes,runs/sweep/d3-easy,208e88ed,d3-arc0-002-e2-probe-room,C5,d3,easy
A086,no,runs/sweep/d2-hard,fe9c619b,d2-arc0-003-e2-probe-ver-upd,C2,d2,hard
A087,yes,runs/sweep/d3-medium,50ed57ec,d3-arc0-001-e4-probe-dinner,C5,d3,medium
A088,yes,runs/sweep/d1-medium,418bb022,arc0-000-e4-probe-combo,C2,d1,medium
A089,yes,runs/pilot-clean,c0965af9,arc0-008-e1-probe-refund,C3,d1,easy
A090,no,runs/sweep/d3-easy,6cc3681c,d3-arc0-006-e4-probe-room,C1,d3,easy
A091,yes,runs/sweep/d3-medium,84a4556b,d3-arc0-007-e4-probe-dinner,C3,d3,medium
A092,yes,runs/pilot-d2-v2,60b2f714,d2-arc0-009-e1-probe-ver,C3,d2,easy
A093,yes,runs/sweep/d2-medium,f90bbcc1,d2-arc0-009-e2-probe-combo,C1,d2,medium
A094,yes,runs/sweep/d1-medium,193b8121,arc0-005-e1-probe-combo,C4,d1,medium
A095,yes,runs/sweep/d1-hard,56dee7dd,arc0-000-e4-probe-refund-upd,C5,d1,hard
A096,yes,runs/sweep/d1-medium,8374767c,arc0-002-e2-probe-combo,C3,d1,medium
A097,yes,runs/pilot-clean,1bc18083,arc0-001-e3-probe-addr,C5,d1,easy
A098,yes,runs/pilot-clean,58c54fe3,arc0-006-e2-probe-refund,C4,d1,easy
A099,yes,runs/sweep/d1-hard,60c82a06,arc0-001-e3-probe-refund-upd,C2,d1,hard
A100,yes,runs/sweep/d3-medium,78d1fb7e,d3-arc0-009-e4-probe-dinner,C1,d3,medium
